Symbol,Date,open,high,low,close,volume
^VN30,20200429,715.68,719.09,713.78,715.33,86911693
^VN30,20200428,720.97,721.53,711.89,715.74,80651380
^VN30,20200427,734.41,734.84,719.66,719.66,113464824
^VN30,20200424,720.87,725.13,711.14,725.05,77989710
^VN30,20200423,727.71,729.59,716.44,717.49,69432480
^VN30,20200422,706.65,718.59,694.13,714.42,93778240
^VN30,20200421,736.31,736.31,702.78,706.65,135788101
^VN30,20200420,740.7,741.62,729.7,736.31,114065280
^VN30,20200417,726.57,735.99,726.57,734.98,112188888
^VN30,20200416,722.8,726.71,714.62,726.57,90463600
^VN30,20200415,713.81,725.97,713.81,722.8,117466590
^VN30,20200414,711.34,713.81,699.19,713.81,112119930
^VN30,20200413,698.91,714.24,698.74,706.37,107475634
^VN30,20200410,697.85,701.65,687.63,695.74,151458383
^VN30,20200409,691.17,704.03,691.17,697.85,114066520
^VN30,20200408,693.61,693.66,675.26,691.17,96873880
^VN30,20200407,682.65,693.81,677.5,693.61,124562270
^VN30,20200406,649.15,682.65,649.15,682.65,135897249
^VN30,20200403,634.32,649.15,634.32,649.15,91320392
^VN30,20200401,610.76,631.1,606.21,628.79,123990196
^VN30,20200331,613.02,628.65,599.53,610.76,90378380
^VN30,20200330,642.23,642.23,605,613.02,92040231
^VN30,20200327,644.17,649.1,634.36,642.23,118446660
^VN30,20200326,651.94,654.97,639.06,646.7,108246560
^VN30,20200325,625.43,652.31,625.43,652.31,111300160
^VN30,20200324,632.86,633.69,619.07,625.43,98200165
^VN30,20200323,671.05,671.05,628.72,632.86,117790375
^VN30,20200320,679.55,683.41,669.08,673.7,90717283
^VN30,20200319,700.65,700.65,670.06,679.55,81268050
^VN30,20200318,699.73,704.69,695.55,700.65,112617007
^VN30,20200317,698.18,702.36,673.73,699.73,114495463
^VN30,20200316,716.65,716.65,689.52,698.18,108031254
^VN30,20200313,719.21,721.87,674.5,716.65,165194480
^VN30,20200312,743.9,743.9,710.41,719.21,120241789
^VN30,20200311,793.44,795.56,746.98,758.16,122247830
^VN30,20200310,782.85,794.64,763.25,789.51,115668160
^VN30,20200309,830.63,830.63,781.24,782.85,123922333
^VN30,20200306,839.12,839.12,827.59,835.97,67820720
^VN30,20200305,837.99,846.58,836.99,839.12,73069209
^VN30,20200304,837.99,838.97,831.36,837.99,63938913
